run_id,design,platform_or_pdk,flow_tool,clock_period_ns,utilization_target,aspect_ratio,core_margin_um,place_density_pct,cong_effort,pin_strategy,macro_strategy,cts_buffer_policy,route_strategy,setup_wns_ns,setup_tns_ns,setup_violating_paths,hold_wns_ns,hold_tns_ns,hold_violating_paths,max_transition_violations,max_cap_violations,max_fanout_violations,cell_area_um2,core_area_um2,die_area_um2,logic_density_pct,instance_count,buffer_count,clock_buffer_count,cts_skew_ps,cts_max_insertion_delay_ps,cts_max_depth,cts_wirelength_um,wirelength_um,drc_count,internal_power_mw,switching_power_mw,leakage_power_mw,total_power_mw,clock_power_mw,seq_power_mw,comb_power_mw,runtime_min,status,notes
baseline_01,GCN,ASAP7_predictive_7nm_27R,Cadence_Innovus_23.12,1.400,0.50,1.0,5,52.643,low,west_ctrl_east_out,none,BUF_INV_curated,globalDetail,0.093,0.000,0,−0.001,−0.002,3,0,0,122,21409.272,43207.188,47499.333,49.550,10520,NA,NA,NA,NA,NA,NA,227244.6,9054,1.515,1.640,0.001,3.156,0.268,NA,NA,NA,complete,Setup clean; hold 3 IO violations (-1ps); 122 fanout DRVs; 9054 DRC baseline; 484 floating weight_col_out nets; 9 DHLx1 inferred latches in Transformation_FSM
optimized_01,GCN,ASAP7_predictive_7nm_27R,Cadence_Innovus_23.12,1.400,0.50,1.0,5,52.721,low,west_ctrl_east_out,none,BUF_INV_curated,globalDetail_antenna_fix,0.092,0.000,0,−0.000,−0.000,2,0,0,119,21394.109,43207.188,47499.333,52.721,10540,NA,NA,NA,NA,NA,NA,NA,8872,1.504,1.619,0.001,3.124,0.267,NA,NA,NA,complete,RTL fix: 0 DHLx1 latches; antenna fix enabled: 0 antenna DRC; geometry DRC 8872; hold 2 IO violations (-0ps); setup clean; power -1.0%
optimized_02,GCN,ASAP7_predictive_7nm_27R,Cadence_Innovus_23.12,1.400,0.50,1.0,5,51.804,low,west_ctrl_east_out,none,BUF_INV_curated,globalDetail_antenna_fix,0.094,0.000,0,0.134,0.000,0,0,0,123,21021.794,43207.188,47499.333,51.804,10140,NA,NA,NA,NA,NA,NA,NA,NA,1.501,1.632,0.001,3.134,0.264,NA,NA,NA,complete,Hold fully closed (0 violations WNS +0.134ns) via IO false_path; area -1.8% vs baseline; instances -380 vs baseline; setup clean; 0 antenna DRC
freq_1000_01,GCN,ASAP7_predictive_7nm_27R,Cadence_Innovus_23.12,1.000,0.50,1.0,5,74.045,low,west_ctrl_east_out,none,BUF_INV_curated,globalDetail_antenna_fix,0.184,0.000,0,0.197,0.000,0,0,0,120,30046.931,NA,NA,74.045,18831,NA,NA,NA,NA,NA,NA,NA,1000_capped,3.168,3.752,0.002,6.922,0.453,NA,NA,NA,complete,1 GHz: timing passed WNS +0.184ns; area +43% vs optimized_02; power +121%; instances +86% (18831); DC restructured MAC datapath: FAx1 795 vs 2403 baseline replaced by MAJIxp5/MAJx2 majority-gate cells + XOR2; density 74.0%; DRC capped at 1000
freq_0800_01,GCN,ASAP7_predictive_7nm_27R,Cadence_Innovus_23.12,0.800,0.50,1.0,5,87.017,low,west_ctrl_east_out,none,BUF_INV_curated,globalDetail_antenna_fix,0.197,0.000,0,0.171,0.000,0,0,0,118,35545.107,NA,NA,87.017,23541,201,43,205.7,441.0,16,4466.520,361760.012,1000_capped,5.015,5.913,0.002,10.930,0.573,1.827,8.529,NA,complete,1.25 GHz: timing passed WNS +0.197ns; area +69% vs optimized_02; power +249%; instances +132% (23541); density 87% in same 50% floorplan (severely overpacked); DRC capped at 1000; Pareto point: DC synthesis-driven frequency scaling confirmed
freq_0600_01,GCN,ASAP7_predictive_7nm_27R,Cadence_Innovus_23.12,0.6,0.5,1.0,5,81.828,low,west_ctrl_east_out,none,BUF_INV_curated,globalDetail_antenna_fix,0.169,0.0,0,0.1,0.0,0,NA,NA,110,41462.954,NA,NA,81.828,23473,1424,59,286.5,526.4,22,4603.58,383560.736,1000_capped,7.95308029,8.69061945,0.00308714,16.64678688,0.7885,2.303,13.55,NA,complete,1.67 GHz: timing PASSED WNS +0.169ns hold +0.100ns; density 81.8%; power 16.65mW; DRC capped
run_1400_u50_ar100_low,GCN,ASAP7_predictive_7nm_27R,Cadence_Innovus_23.12,1.4,0.5,1.0,NA,51.804,low,NA,NA,NA,NA,0.094,0.0,0,0.134,0.0,0,NA,NA,123,21021.794,NA,NA,51.804,10140,93,13,34.7,109.9,2,3779.736,226608.544,1000_capped,1.50057429,1.63248374,0.00111531,3.13417334,0.2636,1.014,1.856,NA,complete,sweep run 01: clk=1400 util=50% AR=1.0 cong=low
run_1400_u65_ar100_low,GCN,ASAP7_predictive_7nm_27R,Cadence_Innovus_23.12,1.4,0.65,1.0,NA,67.154,low,NA,NA,NA,NA,0.08,0.0,0,0.131,0.0,0,NA,NA,121,20949.477,NA,NA,67.154,10088,92,13,32.1,103.8,2,3579.9,225132.3,1000_capped,1.48697018,1.61433398,0.00110851,3.10241267,0.2547,1.014,1.834,NA,complete,sweep run 02: clk=1400 util=65% AR=1.0 cong=low
run_1000_u40_ar100_low,GCN,ASAP7_predictive_7nm_27R,Cadence_Innovus_23.12,1.0,0.4,1.0,NA,59.808,low,NA,NA,NA,NA,0.161,0.0,0,0.177,0.0,0,NA,NA,124,30334.798,NA,NA,59.808,19154,254,32,39.8,192.3,5,7442.412,298235.26,1000_capped,3.27779873,3.8472575,0.00184895,7.12690518,0.4653,1.433,5.229,NA,complete,
run_1000_u50_ar100_low,GCN,ASAP7_predictive_7nm_27R,Cadence_Innovus_23.12,1.0,0.5,1.0,NA,74.045,low,NA,NA,NA,NA,0.184,0.0,0,0.197,0.0,0,NA,NA,120,30046.931,NA,NA,74.045,18831,262,34,38.4,230.9,6,7325.076,299416.132,1000_capped,3.16795202,3.75191737,0.00181954,6.92168893,0.453,1.438,5.03,NA,complete,
